Modality,Model,threshold,accuracy,precision,recall,f1,balanced_accuracy,tp,tn,fp,fn
Audio,XGBoost,0.56,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.57,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.58,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.59,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.6,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.61,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.62,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.63,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.64,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.65,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.66,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.67,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.68,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.69,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.7,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.6888888888888889,0.7015398550724637,31,35,13,15
Audio,XGBoost,0.71,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
Audio,XGBoost,0.72,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
Audio,XGBoost,0.73,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
